Government,Region,Issuing Area of Government,Title,Type,Date,OSS Specific?,Stated Objective: Cost,Stated Objective: Sovereignty,Stated Objective: Support for National Industry,Stated Objective: Modernization,Stated Objective: Transparency,Stated Objective: Security,Action,Term,Status,Comments,Source,Source II,Notes
Argentina,South America,Legislative,2607-D-2007,Support,2007,Yes,X,-,X,-,-,-,Procurement - advisory,FLOSS / FOSS,Failed,Advises to replace operating systems in the Chamber of Deputies for OSS.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=2607-D-2007&tipo=DECLARACION,,
Argentina,South America,Legislative,Bill 5613-D-2000: Regime For the Use of Intellectual Property Rights-Free Software by the National State,Bill,2001,Yes,X,-,-,X,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,"Article 2 of the Bill known as the Bill of Free Software V5, stated: The Executive Power, the Legislative Power, decentralized organizations and companies where the National State is a majority stockholder, will use for their systems and IT equipment only free programs (software). After being reviewed by several committees, the bill expired in March 2002.",https://web.archive.org/web/20130525102452/http://proposicion.org.ar/proyecto/leyes/5613-D-00/,,
Argentina,South America,Legislative,0904-D-2002: Bill of Free Software V5,Bill,2002,Yes,X,X,-,-,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,"The Bill of Free Software V5, mandating OSS in all federal government agencies and companies in which the state is the majority stockholder, was reintroduced as Bill 904-D-02 in March 2002, the same month that the previous bill (5613-D-00) expired.  In March 2004, it expired before passage. Replicated by 1280-D-04.",https://web.archive.org/web/20130525085055/http://www.proposicion.org.ar/proyecto/leyes/904-D-02/,,
Argentina,South America,Legislative,Bill 1280-D-2004,Bill,2004,Yes,X,-,X,-,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,"After Bill 904-D-02 expired in March, Bill 1280-D-04 was introduced in June 2004.  It was the third attempt to pass the Bill of Free Software V5, but it also expired before passage.",https://web.archive.org/web/20130620085821/http://www.proposicion.org.ar/proyecto/leyes/1280-D-04/,,
Argentina,South America,Legislative,6717-D-2006: Implementation of Free Software by the National Government,Bill,2006,Yes,X,-,X,X,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,"All branches of government, the independent and decentralized organisms, and companies in which the Federal Government holds a majority stakeholder would prioritize free software.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=6717-D-2006&tipo=LEY,,
Argentina,South America,Legislative,7228-D-2006: Software Licensing Policy for the National Government,Bill,2006,Yes,X,-,X,X,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,"Bill would make the use of OSS mandatory throughout all national government branches and offices. Bill is based on 0904-D-02, 204-D-00 and 1280-D-04.",https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=7228-D-2006&tipo=LEY,,
Argentina,South America,Legislative,0490-D-2008: Software Licensing Policy Regime for the National Government,Bill,2008,Yes,X,-,X,X,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,Bill replicates 7228-D-2006. It would make the use of OSS mandatory throughout all national government branches and offices.,http://www.anuarioandino.com/Anuarios/Anuario07/art05/ANUARIO%20ANDINO%20ART05.pdf,,
Argentina,South America,Legislative,0603-D-2008: Implementation of Free Software by the National Government,Bill,2008,Yes,X,-,X,X,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,Replicates 6717-D-06. Public Administration would prioritize OSS.,http://www.anuarioandino.com/Anuarios/Anuario07/art05/ANUARIO%20ANDINO%20ART05.pdf,,
Argentina,South America,Legislative,1149-D-2010: Software Licensing Policy Regime for the National Government,Bill,2010,Yes,X,-,X,X,X,-,Procurement - mandatory,FLOSS / FOSS,Failed,Replicates 0490-D-08. It would make the use of OSS mandatory throughout all national government branches and offices.,https://www.hcdn.gov.ar/proyectos/index.html,,
Argentina,South America,Legislative,7552-D-2010: Regime for the Incorporation and Development of Software in the National Public Sector,Bill,2010,Yes,-,-,-,X,-,-,Procurement - mandatory,FLOSS / FOSS,Failed,Bill would make the use of OSS preferential for all national public sector.,https://www.hcdn.gob.ar/proyectos/textoCompleto.jsp?exp=7552-D-2010&tipo=LEY,,
